Time,0.3L,0.5L,0.8L,0.85L
1090, 1.0703125, 0.37890625, 0.609375, 1.1015625
1100, 1.05859375, 0.3203125, 0.51171875, 1.23046875
1110, 0.890625, 0.26953125, 0.4296875, 1.19140625
1120, 0.76171875, 0.23046875, 0.44921875, 1.16015625
1130, 0.640625, 0.19140625, 0.53125, 1.140625
1140, 0.5390625, 0.16015625, 0.75, 1.12109375
1150, 0.4609375, 0.140625, 0.7890625, 1.1015625
1160, 0.390625, 0.109375, 0.96875, 1.078125
1170, 0.328125, 0.26171875, 1.140625, 1.37890625
1180, 0.28125, 0.53125, 1.26171875, 1.3203125
1190, 0.23046875, 0.6015625, 1.21875, 1.26953125
1200, 0.19921875, 0.80859375, 1.19140625, 1.23046875
1210, 0.171875, 0.83984375, 1.30859375, 1.19140625
1220, 0.140625, 0.87109375, 1.26171875, 1.16015625
1230, 0.12109375, 0.890625, 1.21875, 1.44921875
1240, 0.1015625, 0.91015625, 1.1796875, 1.44921875
1250, 0.078125, 0.921875, 1.4609375, 1.5390625
1260, 0.0703125, 0.78125, 1.5390625, 1.4609375
1270, 0.05859375, 0.66015625, 1.4609375, 1.55078125
1280, 0.05078125, 0.55859375, 1.390625, 1.609375
1290, 0.0390625, 0.46875, 1.328125, 1.51953125
1300, 0.3515625, 0.3984375, 1.26953125, 1.6015625
1310, 0.6015625, 0.33984375, 1.23046875, 1.6484375
1320, 0.73046875, 0.28125, 1.359375, 1.55078125
1330, 0.76953125, 0.23828125, 1.30078125, 1.55078125
1340, 0.87890625, 0.19921875, 1.25, 1.4609375
1350, 0.73828125, 0.55859375, 1.2109375, 1.46875
1360, 0.62890625, 0.62890625, 1.1796875, 1.55859375
1370, 0.53125, 0.69140625, 1.30078125, 1.46875
1380, 0.44921875, 0.73046875, 1.25, 1.3984375
1390, 0.37890625, 0.859375, 1.2109375, 1.5
1400, 0.3203125, 0.87890625, 1.1796875, 1.421875
1410, 0.421875, 0.8984375, 1.1484375, 1.359375
1420, 0.3515625, 0.91015625, 1.12890625, 1.30078125
1430, 0.30078125, 1.0703125, 1.109375, 1.328125
1440, 0.25, 1.05859375, 1.30859375, 1.28125
1450, 0.2109375, 1.05078125, 1.41015625, 1.23046875
1460, 0.1796875, 1.0390625, 1.3515625, 1.19921875
1470, 0.1484375, 1.0390625, 1.44921875, 1.171875
1480, 0.12890625, 1.03125, 1.37890625, 1.140625
1490, 0.109375, 1.03125, 1.3203125, 1.19140625
1500, 0.08984375, 1.01953125, 1.4296875, 1.16015625
1510, 0.078125, 1.01953125, 1.37109375, 1.140625
1520, 0.05859375, 1.01171875, 1.30859375, 1.12109375
1530, 0.19921875, 1.01171875, 1.26171875, 1.1015625
1540, 0.171875, 1.16015625, 1.30078125, 1.23046875
1550, 0.140625, 1.12890625, 1.3984375, 1.3515625
1560, 0.12109375, 1.109375, 1.33984375, 1.30078125
1570, 0.1015625, 1.23828125, 1.12890625, 1.25
1580, 0.08984375, 1.19921875, 0.9609375, 1.2109375
1590, 0.0703125, 1.171875, 0.80859375, 1.328125
1600, 0.05859375, 0.98828125, 0.6796875, 1.44140625
1610, 0.05078125, 0.83984375, 0.578125, 1.37109375
1620, 0.0390625, 0.7109375, 0.48828125, 1.30859375
1630, 0.0390625, 0.6015625, 0.41015625, 1.26171875
1640, 0.03125, 0.51171875, 0.3515625, 1.37109375
1650, 0.01953125, 0.4296875, 0.2890625, 1.46875
1660, 0.01953125, 0.359375, 0.25, 1.46875
1670, 0.01953125, 0.30859375, 0.2890625, 1.3984375
1680, 0.01171875, 0.26171875, 0.3984375, 1.48828125
1690, 0.01171875, 0.21875, 0.48828125, 1.41015625
1700, 0.01171875, 0.1796875, 0.80078125, 1.3515625
1710, 0.01171875, 0.16015625, 0.8984375, 1.2890625
1720, 0.01171875, 0.12890625, 0.921875, 1.3984375
1730, 0.0, 0.109375, 0.9296875, 1.48046875
1740, 0.0, 0.08984375, 0.94140625, 1.328125
1750, 0.0, 0.078125, 0.94921875, 1.12109375
1760, 0.0, 0.0703125, 0.9609375, 0.94921875
1770, 0.0, 0.05859375, 0.96875, 0.80078125
1780, 0.0, 0.19921875, 0.96875, 0.76171875
1790, 0.0, 0.3984375, 1.140625, 0.94140625
1800, 0.0, 0.48828125, 1.0390625, 0.94921875
